Personne A,M,17,L1,16.0,BASKET-FOOT
Personne B,M,21,L2,12.15,BASKET-FOOT
Personne C,F,16,M1,15.86,FOOT-BASKET-CID
Personne D,M,24,L2,14.44,BASKET-CID
Personne E,M,20,M1,17.75,CID
Personne F,M,22,L3,11.78,AUCUNE
Personne G,F,23,L3,16.29,FOOT-BASKET
Personne H,F,20,L1,15.74,FOOT-BASKET-CID
Personne I,F,23,L2,15.29,BASKET
Personne J,F,16,L1,19.36,CID-FOOT
Personne K,F,20,L1,17.37,BASKET
Personne L,M,21,M2,18.8,CID-FOOT
Personne M,F,16,L1,15.76,CID
Personne N,M,19,L3,16.73,FOOT-CID-BASKET
Personne O,M,23,M2,12.93,AUCUNE
Personne P,M,23,M2,19.49,FOOT-BASKET
Personne Q,M,18,L1,11.11,FOOT
Personne R,M,18,M2,18.22,FOOT
Personne S,M,21,L1,13.53,BASKET-CID-FOOT
Personne T,M,17,M2,18.10,AUCUNE
Personne U,M,21,L1,18.29,FOOT
Personne V,M,16,L1,13.2,CID
Personne W,M,19,M1,13.36,AUCUNE
Personne X,M,23,M1,18.97,FOOT-BASKET
Personne Y,F,18,M1,16.62,BASKET-FOOT-CID
Personne Z,M,18,L1,10.18,CID-BASKET-FOOT
Personne a,M,16,L3,15.9,BASKET-CID
Personne b,M,17,L3,13.56,FOOT-BASKET
Personne c,F,20,M2,17.43,AUCUNE
Personne d,F,22,M1,14.86,AUCUNE
Personne e,M,23,M2,14.40,FOOT
Personne f,F,20,M1,18.41,CID
Personne g,F,21,M2,10.86,AUCUNE
Personne h,M,22,L1,11.13,BASKET-FOOT-CID
Personne i,M,20,M2,16.26,CID
Personne j,M,22,M2,12.41,CID
Personne k,F,20,M1,15.7,AUCUNE
Personne l,F,16,L2,17.32,AUCUNE
Personne m,F,23,L1,16.83,BASKET-FOOT
Personne n,F,18,L1,13.81,CID-FOOT-BASKET
Personne o,F,23,L1,17.2,AUCUNE
Personne p,M,20,M1,17.94,FOOT-CID-BASKET
Personne q,M,24,L2,14.22,AUCUNE
Personne r,M,22,L1,17.48,FOOT-BASKET-CID
Personne s,M,16,L2,17.17,FOOT-CID
Personne t,F,22,L3,10.77,CID
Personne u,F,18,M2,10.76,CID-BASKET
Personne v,M,21,M1,11.80,BASKET-CID
Personne w,M,21,L1,13.53,CID-FOOT-BASKET
Personne x,F,18,M1,19.81,FOOT
Personne y,M,21,L3,13.53,AUCUNE
Personne z,F,20,L3,18.86,FOOT-CID-BASKET
Personne 0,M,24,M1,16.41,FOOT-CID-BASKET
Personne 1,F,20,M1,10.96,CID-FOOT
Personne 2,M,19,M2,14.90,FOOT
Personne 3,M,24,L3,17.76,CID-FOOT-BASKET
Personne 4,M,18,L1,15.53,AUCUNE
Personne 5,M,23,M2,14.83,CID-FOOT
Personne 6,M,17,L3,15.32,BASKET
Personne 7,F,20,L3,15.41,AUCUNE
Personne 8,F,22,L2,11.35,BASKET-FOOT-CID
Personne 9,M,16,M1,12.43,BASKET-CID
